Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,ObjectId,x,y
1521868,2019-10-08T04:00:00Z,Ohio,Toledo,200 block of Kingswood Trail Dr,1,0,0,0,0,N/A,1218,-83.645942487213,41.6416556309194
1517994,2019-10-02T04:00:00Z,Ohio,Toledo,2030 Ashland Ave,0,1,0,0,0,N/A,1219,-83.5487655011981,41.6619352863388
1513450,2019-09-26T04:00:00Z,Ohio,Toledo,400 block of E Lake St,0,1,0,0,0,N/A,1220,-83.5353128417463,41.6850626779767
1512927,2019-09-25T04:00:00Z,Ohio,Toledo,500 block of Elmdale Ct,1,0,0,0,1,N/A,1221,-83.6151670805382,41.6299778666069
1505547,2019-09-16T04:00:00Z,Ohio,Toledo,1500 block of Elm St,0,2,0,0,0,N/A,1222,-83.5322287187634,41.6671590241286
1501562,2019-09-11T04:00:00Z,Ohio,Toledo,800 block of Woodsdale Ave,0,1,0,0,0,N/A,1223,-83.5869006684519,41.6244671739572
1501271,2019-09-09T04:00:00Z,Ohio,Toledo,Lagrange St and Oneida St,0,1,0,0,0,N/A,1224,-83.5319300289314,41.6643139869013
1500285,2019-09-07T04:00:00Z,Ohio,Toledo,1800 block of Jermain Ave,0,1,0,0,0,N/A,1225,-83.5881892738792,41.6769406897945
1497374,2019-09-05T04:00:00Z,Ohio,Toledo,1316 Front St,1,0,0,0,1,N/A,1226,-83.5158060133865,41.6530010157535
1493374,2019-09-01T04:00:00Z,Ohio,Toledo,3257 Stickney Ave,0,4,0,0,0,N/A,1227,-83.5268826989805,41.6826952905759
1494434,2019-08-31T04:00:00Z,Ohio,Toledo,800 block of Rogan Way,0,1,0,0,0,N/A,1228,-83.551095907115,41.6489466347015
1493071,2019-08-30T04:00:00Z,Ohio,Toledo,2550 Cherry St,0,1,0,0,0,N/A,1229,-83.5440704617556,41.6737756886241
1489379,2019-08-27T04:00:00Z,Ohio,Toledo,1500 block of Gould Rd,0,1,0,0,0,N/A,1230,-83.5811073029289,41.7021494316355
